idx,title,url,updated,recMod,header,topics,language,notes,urlOtherTitle,urlOther
53,Cryptocurrency API Gateway,https://github.com/stevenpack/cryptoserviceworker,2018-06-26,2019-07-07,article,"article,gatekeeper,route",TypeScript,"mini http request routing, then gateway to multiple crypto API providers in 1 file",blog.CloudFlare,https://blog.cloudflare.com/cryptocurrency-api-gateway-typescript-workers/
109,Building a To-Do List App,,2019-05-23,2019-07-07,,"article,app",ES2017,"uses CF KV also, pre-Wrangler, so work is via web interface",,
108,Living at the Edge at Dwolla,https://www.dwolla.com/updates/living-at-the-edge/,2019-06-27,2019-07-05,,"article,CI/CD",ES2017,Using environment variables & CI pipeline,,
107,ว่าง ๆ มาสร้าง Serverless function บน Cloudflare Workers กัน,http://www.somkiat.cc/deploy-serverless-on-cloudflare-workers/,2019-04-19,2019-07-05,ไทย (Thai),article,ES2017,How to use Wrangler in Thai,,
105,example Gatsby.js project ,https://github.com/signalnerve/gatsby-cloudflare-workers,2019-06-10,2019-06-30,GraphQL,ReactJS,ES2017,blog served via GatsbyJS/React,,
106,file hosting,https://github.com/judge2020/cloudflare-file-hosting,2019-06-09,2019-06-30,,app,TypeScript,Uses Workers KV to enable Cloudflare as a file host. This is currently unstable,,
104,Template: TypeScript  & Jest by udacity,https://github.com/udacity/cloudflare-typescript-worker-template,2019-06-10,2019-06-30,tool,template,TypeScript,"preconfigured starter template for building a Tslint strictly linted/formatted, Jest tested, Webpack built, TypeScript",,
103,Google Analytics shield ,https://github.com/boynet/cf-GoogleAnalytics-shield-worker,2019-06-11,2019-06-30,msc,"SEO,analytics",ES2017,protect google analytics from being blocked by ad blockers,,
102,Template: validating JWTs from Auth0,https://github.com/bcnzer/cloudflare-worker-template-auth0-jwt,2019-06-11,2019-06-30,,"security,auth,template",ES2017,For use with Wrangler CLI ,,
100,blog server in Chinese,https://github.com/kasuganosoras/cloudflare-worker-blog,2019-06-16,2019-06-30,Chinese,article,PHP,"Served via Workers, but deployed via PHP",live site,https://blog.natfrp.org/solusvm-chinese-translate
101,score users' new passwords with zxcvbn,https://github.com/detroitenglish/pw-pwnage-cfworker,2019-06-12,2019-06-30,security,"security,app,REST",ES2017,RESTful endpoint for sanely scoring users' new passwords  & querys Troy Hunt's haveibeenpwned collection of +5.1 billion breached accounts,,
88,TypeScript Types and mocks,https://github.com/udacity/cloudflare-typescript-workers,2019-06-07,2019-06-30,local-dev,"tool,template",TypeScript,"simple example and/or starting point for a CfWorker script using TypeScript, WebPack, & Jest",,
99,Shopping site demo,https://github.com/jRiest/shopping-demo,,2019-06-30,,"static,ReactJS",ES2017,serverless shopping website ,live demo,https://shopping.jake.workers.dev/
98,CFP Land RSS WOrker,https://github.com/cfpland/rss-worker,2019-06-18,2019-06-30,,"service,SEO",ES2017,generates an RSS feed ,live RSS feed,https://feeds.cfpland.com/v2/rss/cfps
97,KV  Benchmark,https://github.com/rluisr/workerskv_benchmark,2019-06-21,2019-06-30,,"test,tool,KV",GoLang,compare own memcache server with WorkersKV,,
96,Custom Domain example,https://github.com/dnwk/Handle-Server-customdomain-with-Cloudflare-Worker,2019-06-24,2019-06-30,,route,ES2017,perform redirect when URL is found,,
95,Bitquant's Sandbox,https://github.com/bitquant/cloudflare-workers-sandbox,2019-06-26,2019-06-30,,local-dev,ES2017,Test your Cloudflare Workers application with your local machine,,
93,Workers CI,https://github.com/shagamemnon/workers-ci,2018-06-14,2019-06-08,,tool,ES2015,Gulp.js client for automating and testing Cloudflare Workers deployments,,
92,cloudflare-workers-sandbox,https://github.com/bitquant/cloudflare-workers-sandbox,2019-06-04,2019-06-08,local-dev,"tool,test,local-dev",ES2017,sandbox environment suitable for running and testing your worker code locally,,
91,Logger for Loggly,https://github.com/bitquant/cloudflare-workers-logger,2019-06-04,2019-06-08,,log,ES2017,,solarwinds loggy,https://www.loggly.com/
43,routing middleware,https://github.com/bitquant/cloudflare-workers,2019-05-03,2019-06-08,,"route,tool",ES2015,basic routing handlers,,
38,Local cloudflare-workers-kv,https://github.com/bitquant/cloudflare-workers-kv,2019-06-04,2019-06-08,tool,"KV,local-dev",ES2017,Workers KV in your local environment or within a CF Workers env.  Chunks large values above 64kB,,
90,Official Serverless Quickstart,https://serverless.com/framework/docs/providers/cloudflare/guide/quick-start/,2019-05-09,2019-06-07,article,,Serverless,guide to use the Serverless Plugin to deploy CfWorkers,,
89,StackOverflow questions,https://stackoverflow.com/questions/tagged/cloudflare-workers,2019-06-07,2019-06-07,,,,croudsourced help,,
34,edge A/B testing proxy,https://github.com/DigitalOptimizationGroup/cloudflare-edge-proxy,2018-12-18,2019-06-07,,"proxy,test,gatekeeper",ES2015,"A/B/n testing across multiple backends, gradual canary testing, dynamic gatekeeping, includes tests, great example",,
7,KV interactive viewer,https://github.com/jroyal/cloudflare-workers-kv-viewer,2019-05-04,2019-06-07,tool,"tool,CLI",ES2017,nice CLI tool to explore keys & values of a Cloudflare account,,
22,Streaming Optimizations,https://github.com/pmeenan/cf-workers/tree/master/streaming-optimizations,2019-03-28,2019-06-07,msc,"optmimize,cache",ES2017,"caches 3rd party scripts & dynamic HTML, inlines Google Fonts CSS.  Non-streaming blocking [version is avaiable](https://github.com/pmeenan/cf-workers/tree/master/optimization-pack)",,
86,Awesome Service Workers,https://github.com/TalAter/awesome-service-workers#awesome-service-workers-,2018-10-31,2019-06-07,related,,ES2015,Cf Service Workers are based on browser SW,,
9,Kv Web Explorer,https://github.com/bcnzer/kv-explorer-ui,2018-12-04,2019-06-07,tool,"VueJS,KV,tool",ES2017,Vue.js SPA for viewing Cloudflare KV data,,
44,very basic auth,https://github.com/dommmel/cloudflare-workers-basic-auth,2019-04-12,2019-06-07,,security,ES2015,"hardcoded user & password auth example ""to protect static html pages"".  Uses WebPack for some reason.  ",,
48,CI/CD with Azure,https://github.com/daniel-simpson/Cloudflare-Enterprise-Workers,2018-08-06,2019-06-07,msc,deploy,ES2017,,,
66,URL Shortener wtih Zapier & GA,https://github.com/deens-com/urlshortener,2019-03-27,2019-06-07,,"analytics,app,route",ES2017,advanced URL Shortener running on CloudFlare Workers + Zapier with Remarketing pixels or CTA through Google Tag Manager,,
28,echo,https://github.com/lebinh/cloudflare-workers#workers-zoo,2018-02-06,2019-06-07,tool,test,TypeScript,echo back the request/response from worker point of view,,
12,append client country,https://github.com/windbirds/workers_examples/blob/master/append_user_country/index.js,2019-02-02,2019-06-07,,analytics,ES2017,,,
62,Hasura GraphQL Cloudflare Worker,https://github.com/nathanwaters/hasura-cloudflare-worker,2018-11-21,2019-06-07,GraphQL,"GraphQL,auth",ES2017,Example for Facebook-based authorization and GraphQL proxy queries with Hasura,,
42,TypeScript barra; example,https://github.com/jahands/workers-typescript-example,2018-11-10,2019-06-07,,example,TypeScript,Quick TypeScript + Grunt example,,
75,GDPR for lazy people: Block all EU users,https://apility.io/2018/05/25/gdpr-lazy-block-european-users-cloudflare-workers/,2018-05-25,2019-06-07,,"article,localization",ES2017,uses  Apility API badip,,
78,stock ticker app for Slack,https://blog.cloudflare.com/building-a-serverless-slack-bot-using-cloudflare-workers/,2018-08-09,2019-06-07,,"article,app,Slack",ES2017,,,
39,go/WASM AMP-transformer,https://github.com/gabbifish/amp-transform-wasm,2019-03-29,2019-06-07,msc,"AMP,WASM",GoLang,go/WASM port of the AMP packager transform library,,
54,CF KV Client for .NET,https://github.com/aozd4v/cloudflare-workers-kv-dotnet-client,2019-04-29,2019-06-07,tool,"tool,KV",.NET,.NET Standard 1.4-2.0,,
59,Source code of instant.page’s site,https://github.com/instantpage/instant.page-site,2019-04-12,2019-06-07,,"static,local-dev",ES2017,Node.js app to run locally and generated Cloudflare Worker,live site,instant.page/
57,app to flip images,https://github.com/Kellel/image_flipper,2019-04-04,2019-06-07,msc,"app,image,WASM",Rust,uses Rust's wasm-pack-template,,
19,Sending Logs to ReadMe.io with CloudFlare,https://readme.readme.io/docs/sending-logs-to-readme-with-cloudflare,2018-12-13,2019-06-07,,log,ES2017,use CfWorkers instead of NodeJS,,
14,basic static site,https://github.com/windbirds/workers_examples/blob/master/basic_static_site/index.js,2018-10-21,2019-06-07,,static,ES2017,,,
83,Custom Load Balancing,https://www.codiva.io/blog/post/custom-load-balancing-with-cloudflare-worker/,2018-06-01,2019-06-07,,"article,loadbalance,localization",ES2015,simple example to send the request to different hosts per country of requester,bug fix post,community.cloudflare.com/t/geographic-routing-and-load-balancing-with-cloudflare-workers/21900/2
52,Deploy zip file,https://github.com/fab-spec/cloudflare-workers-packager,2019-03-13,2019-06-07,,"deploy,tool",ES2017,take a fab.zip and wrap the server-side component in a Cloudflare wrapper so it can be used there.,,
41,FSharp tutorial,https://github.com/jbeeko/cfworker-web-api,2019-02-24,2019-06-07,article,"article,app",F#,FSharp example: CRUD contact manager,,
16,LogDNA,https://github.com/windbirds/workers_examples/blob/master/logdna/index.js,2019-02-02,2019-06-07,,log,ES2017,,,
18,What is my IP?,https://github.com/amodm/cloudflare-whatsmyip,2018-04-14,2019-06-07,,service,ES2015,,,
24,Basic Proxy,https://github.com/pmeenan/cf-workers/tree/master/proxy,2019-02-21,2019-06-07,,proxy,ES2017,no docs,,
51,DynamoDB library,https://github.com/bitquant/cloudflare-workers-dynamodb/blob/master/index.js,2019-04-29,2019-06-07,,"AWS,library",ES2017,,,
5,Thin wrapper for Cloudflare Workers KV,https://github.com/Zertz/cloudflare-kv,2018-10-14,2019-06-07,msc,KV,ES2017,"get, put, & delete for Cloudflare KV",,
37,CRA SPA demo,https://github.com/jamesbibby/hello-word-react,2019-02-23,2019-06-07,,"ReactJS,route",TypeScript,"simple create-react-app application, served by a cloudflare worker",,
2,create-cloudflare-worker,https://github.com/gja/create-cloudflare-worker,2019-01-26,2019-06-07,,"tool,template",ES2017,starter kit,,
76,CI/CD pipeline for CfWorkers using Serverless in Azure,https://medium.com/gettimely/how-to-set-up-ci-cd-pipeline-for-cloudflare-workers-using-serverless-framework-in-azure-devops-aka-1e904e91e130,2018-09-14,2019-06-07,msc,"article,CI/CD",Serverless,walkthough for a code pipeline with Serverless Framework,,
61,Cloudflare Watch: validate inbound requests / forms,https://github.com/apzuk3/cloudflare-watch,2019-04-04,2019-06-07,,tool,ES2017,"built on top of APIs to filter, validate and proxy incoming request and input data ",,
74,Set Google Analytics Client ID Cookie,https://gist.github.com/dustinrecko/9f34969250f2e0668d4c4fe4808520a7#file-worker-snippet-js,2019-02-26,2019-06-07,security,"article,analytics,security",ES2015,"Fool Webkit's Intelligent Tracking Prevention,  HTTP Set-Cookie /snippet/",article: Google Analytics ITP 2.1 Prevention ,https://omr.ruhr/google-analytics-itp-2-1-prevention-http-set-cookie-snippet-182092779d40
63,err-table-worker,https://github.com/danigrant/err-table-worker#err-table-worker,2018-12-16,2019-06-07,,"log,AirTable",ES2017,logs http errors to AirTable,,
29,Preact Progressive Web App,https://github.com/DigitalOptimizationGroup/cloudflare-worker-preact-pwa,2018-12-02,2019-06-07,msc,"frontend,optmimize,Preact",ES2017,example PWA created by preact-cli,Preact worker demo,https://growthcloud.io/
65,go-worker-server,https://github.com/nkcmr/go-worker-server,2018-10-28,2019-06-07,,WASM,GoLang,simple way to hook up standard Go HTTP handlers to a Cloudflare Worker,,
27,simple proxy,https://github.com/lebinh/cloudflare-workers#workers-zoo,2018-02-06,2019-06-07,,proxy,TypeScript,,,
49,executable to deploy Cloudflare Workers,https://github.com/ao-com/cloudflare-worker-deployer,2018-07-08,2019-06-07,,"deploy,CLI",GoLang,alternative CLI tool incase you're allergic to Wrangler,,
69,Discount via Country-request,https//cloudflareworkers.com/#bf2d7801e112740f9bd3db6a0b90c0fe:tutorial.cloudflareworkers.com,2019-02-21,2019-06-07,,localization,ES2017,,blog post,scotch.io/tutorials/serverless-cloudflare-workers-are-pretty-awesome
82,Logs from the edge,https://blog.cloudflare.com/logs-from-the-edge/,2018-11-29,2019-06-07,,"article,log",ES2017,uses Elastic Stack (ELK),,
32,easier cloudflare request routing,https://github.com/cakedan/cf-worker-router,2019-03-07,2019-06-07,,route,ES2015,example usage in README,,
71,"Building Workers-KV, Kyle Kloepper ",https://youtu.be/cxgZUqdHAX8,2019-03-27,2019-06-07,,"video,KV",ES2017,"Meetup talk: overview, history, & 'storage gateway worker'",Into blobpost from Cloudflare,https://blog.cloudflare.com/building-with-workers-kv/
47,un-official Bugsnag notifier,https://github.com/jmshal/bugsnag-js-cloudflare-workers,2019-03-04,2019-06-07,,"library,monitor",ES2015,"report to Bugsnag.com in the last mile, example included",,
56,Codeship to automatically update your Cloudflare Workers,https://github.com/karllhughes/workers-codeship-example,2018-08-24,2019-06-07,local-dev,"deploy,example",ES2015,Automated Deployment,,
15,hashing service,https://github.com/windbirds/workers_examples/blob/master/hash/index.js,2019-02-02,2019-06-07,msc,service,ES2017,"JSON responce with SHA1, SHA286, SHA384, & SHA512 hash responce",,
13,basic cache,https://github.com/windbirds/workers_examples/blob/master/basic_cache/index.js,2018-10-21,2019-06-07,,cache,ES2017,,,
70,GraphQL on Edge Workers,https://github.com/cloudflare/workers-graphql-gateway-example,2018-08-01,2019-06-07,GraphQL,"video,GraphQL",ES2017,Workers GraphQL Gateway Example,video demo,https://youtu.be/E9sDH6ylQc4
33,Workers KV + GraphQL,https://github.com/jpstrikesback/cloudflare-graphql,2018-11-21,2019-06-07,,"GraphQL,KV",Serverless,,,
17,validate Portugal VAT number,https://github.com/windbirds/workers_examples/blob/master/validate_pt_vat/index.js,2018-10-22,2019-06-07,,service,ES2017,filter by country,,
26,http_prober,https://github.com/lebinh/cloudflare-workers#workers-zoo,2018-03-22,2019-06-07,,"monitor,test",TypeScript,Prometheus's blackbox-exporter HTTP probe,,
3,simple integration to Cloudflare Workers APIs,https://github.com/jspies/cloudflare-workers-toolkit,2019-03-26,2019-06-07,msc,"tool,deploy",ES2017,"deploy workers, get & remove routs, KV storage, etc",,
36,Call AWS Lambda,https://github.com/ysugimoto/cloudflare-worker-lambda-gateway,2019-01-11,2019-06-07,,AWS,ES2015,,,
20,Airtable Proxy Cloudflare Worker,https://github.com/portable-cto/airtable-proxy-worker,2019-03-13,2019-06-07,msc,"AirTable,REST,security",ES2015,"Hides Airtable Base ID and API Key, Limit requests to specific methods and table, push updates via Travis-CL",,
50,DNS lookup and dig app,https://github.com/matthewgall/beta.dnsjson.com,2018-04-07,2019-06-07,msc,"app,frontend",ES2017,,dnsjson.com - live app,https://beta.dnsjson.com/
6,Test Harness,https://github.com/envato/cloudflare-worker-test-harness,2018-09-16,2019-06-07,,test,ES2015,"emulate the Cloudflare Worker runtime without needing to rely on the console UI, but needs `require` & a few NodeJS APIs ",,
58,Serve cookie consent banner to EU visitors,https://github.com/pioug/cookie-choice,2018-12-29,2019-06-07,localization,"localization,inject,app",ES2017,banner only shows if cllient is in EU,live demo,https://github.com/stevenpack/cryptoserviceworker
23,Bypass Cache on Cookie,https://github.com/pmeenan/cf-workers/tree/master/cache-bypass-on-cookie,2019-03-19,2019-06-07,,"cache,WordPress",ES2017,"bypasses any existing caches when the configured rules are matched, set up for a default WordPress deployment ",,
55,URL shortener with LavaRand,https://github.com/obezuk/cf-workers-link-shortener,2019-04-28,2019-06-07,article,"article,route,app",ES2017,url shortener built with Cloudflare Workers and LavaRand,short blog post,levi.lol/url-shortener-built-on-cloudflare/
4,Supercharge Google Fonts,https://medium.com/@pierluc/supercharge-google-fonts-with-cloudflare-and-service-workers-25c37462fb6a,2018-10-02,2019-06-07,article,"article,optmimize,CDN",ES2017,"inlines font requests with CfWorker, then caches in browser",author's live site,https://www.jirafe.io/
35,Workaround Cloudflare's Anti-DDoS Protection,https://github.com/hrbrmstr/cfhttr,2017-12-10,2019-06-07,security,tool,Rust,Workaround Cloudflare Anti-DDoS Protection,,
77,Testing Performance Of Cloudflare Workers,https://medium.com/gaurav-shukla/testing-performance-of-cloudflare-workers-446420c2d269,2019-04-12,2019-06-07,,"article,test",,performance tests for improvements,,
84,Official Blog,https://blog.cloudflare.com/tag/workers/,,2019-06-07,official,,,Cloudflare's blog posts tagged 'worker',,
87,Cloudflare's Worker Forum / BBS,https://community.cloudflare.com/c/developers/workers,2019-06-07,2019-06-07,official,,,offical community forum,,
85,Official Documentation,https://developers.cloudflare.com/workers/about/,,2019-06-07,official,,,"general docs, includes configurations, Cf KeyValue data store, and recipes",,
184, Berkeley-Reject / workers-proxy,https://github.com/Berkeley-Reject/workers-proxy,2020-06-12,2020-07-03,,proxy,ES2017,lightweight Reverse Proxy with configs,,
185,,,,,,,,,,